,202112_202306
number of new accepted species names,414787
number of old accepted species names,416165
new accepted species names which were previously published,337018
number of new species names,1013334
number of old species names,964986
new species names not in old,111165
species names have disappearedbut this could be due to orthographic changes with authorship,62817
