,v11_v13
number of new accepted species names,361633
number of old accepted species names,358191
new accepted species names which were previously published,354482
number of new species names,1034031
number of old species names,1026625
new species names not in old,14826
species names have disappearedbut this could be due to orthographic changes with authorship,7420
