,202207_202312
number of new accepted species names,419760
number of old accepted species names,418152
new accepted species names which were previously published,327291
number of new species names,1021625
number of old species names,965735
new species names not in old,155005
species names have disappearedbut this could be due to orthographic changes with authorship,99115
