,202312_202312
number of new accepted species names,419760
number of old accepted species names,419760
new accepted species names which were previously published,371596
number of new species names,1021625
number of old species names,1021625
new species names not in old,0
species names have disappearedbut this could be due to orthographic changes with authorship,0
