,taxon_name_w_authors,previous_chain_accepted_name_w_author,202412_taxon_name_w_authors,202412_chained_accepted_name_w_author,202412_chained_accepted_species,202412_direct_accepted_name_w_author,202412_direct_accepted_species
count,46833,46833,46833,46833,46235,46833,46327
unique,46833,13942,13942,13922,13030,16778,14934
top,Myrtus communis f. lusitanica (L.) Cout.,Mentha longifolia (L.) L.,Mentha longifolia (L.) L.,Mentha longifolia (L.) L.,Mentha longifolia,Mentha longifolia subsp. longifolia ,Mentha longifolia
freq,1,246,246,246,246,247,247
