,v12_v13
number of new accepted species names,361633
number of old accepted species names,358923
new accepted species names which were previously published,356907
number of new species names,1034031
number of old species names,1028366
new species names not in old,8909
species names have disappearedbut this could be due to orthographic changes with authorship,3244
