,taxon_name_w_authors,202112_accepted_name_w_author,202207_taxon_name_w_authors,202207_chained_accepted_name_w_author,202207_chained_accepted_species,202207_direct_accepted_name_w_author,202207_direct_accepted_species
43954,Tripolium pannonicum subsp. pannonicum ,Tripolium pannonicum (Jacq.) Dobrocz.,Tripolium pannonicum (Jacq.) Dobrocz.,Tripolium pannonicum (Jacq.) Dobrocz.,Tripolium pannonicum,Tripolium pannonicum subsp. pannonicum ,Tripolium pannonicum
135887,Aeschynomene incana Vogel,Aeschynomene histrix var. incana (Vogel) Benth. in Mart.,Aeschynomene histrix var. incana (Vogel) Benth. in Mart.,Aeschynomene histrix var. incana (Vogel) Benth. in Mart.,Aeschynomene histrix,Desmodium incanum (G.Mey.) DC.,Desmodium incanum
141521,Aeschynomene leptophylla subsp. leptophylla Harms,Aeschynomene leptophylla Harms,Aeschynomene leptophylla Harms,Aeschynomene leptophylla Harms,Aeschynomene leptophylla,Aeschynomene leptophylla subsp. leptophylla Harms,Aeschynomene leptophylla
144622,Alysicarpus glumaceus subsp. glumaceus (Vahl) DC.,Alysicarpus glumaceus (Vahl) DC.,Alysicarpus glumaceus (Vahl) DC.,Alysicarpus glumaceus (Vahl) DC.,Alysicarpus glumaceus,Alysicarpus glumaceus subsp. glumaceus (Vahl) DC.,Alysicarpus glumaceus
147409,Dolichos kilimandscharicus subsp. kilimandscharicus Taub.,Dolichos kilimandscharicus Taub.,Dolichos kilimandscharicus Taub.,Dolichos kilimandscharicus Taub.,Dolichos kilimandscharicus,Dolichos kilimandscharicus subsp. kilimandscharicus Taub.,Dolichos kilimandscharicus
150779,Colutea arborescens subsp. arborescens L.,Colutea arborescens L.,Colutea arborescens L.,Colutea arborescens L.,Colutea arborescens,Colutea arborescens subsp. arborescens L.,Colutea arborescens
152375,Astragalus aleppicus subsp. aleppicus Boiss.,Astragalus aleppicus Boiss.,Astragalus aleppicus Boiss.,Astragalus aleppicus Boiss.,Astragalus aleppicus,Astragalus aleppicus subsp. aleppicus Boiss.,Astragalus aleppicus
152589,Trifolium noricum subsp. noricum Wulfen,Trifolium noricum Wulfen,Trifolium noricum Wulfen,Trifolium noricum Wulfen,Trifolium noricum,Trifolium noricum subsp. noricum Wulfen,Trifolium noricum
152832,Genista scorpius subsp. scorpius (L.) DC.,Genista scorpius (L.) DC.,Genista scorpius (L.) DC.,Genista scorpius (L.) DC.,Genista scorpius,Genista scorpius subsp. scorpius (L.) DC.,Genista scorpius
152837,Genista sylvestris subsp. sylvestris Scop.,Genista sylvestris Scop.,Genista sylvestris Scop.,Genista sylvestris Scop.,Genista sylvestris,Genista sylvestris subsp. sylvestris Scop.,Genista sylvestris
152910,Astragalus exscapus subsp. exscapus L.,Astragalus exscapus L.,Astragalus exscapus L.,Astragalus exscapus L.,Astragalus exscapus,Astragalus exscapus subsp. exscapus L.,Astragalus exscapus
152926,Astragalus suberosus subsp. suberosus Banks & Sol.,Astragalus suberosus Banks & Sol.,Astragalus suberosus Banks & Sol.,Astragalus suberosus Banks & Sol.,Astragalus suberosus,Astragalus suberosus subsp. suberosus Banks & Sol.,Astragalus suberosus
153019,Astragalus somcheticus K.Koch,Astragalus polygala Pall.,Astragalus polygala Pall.,Astragalus polygala Pall.,Astragalus polygala,Astragalus somcheticus K.Koch,Astragalus somcheticus
153124,Padbruggea filipes (Dunn) Craib,Afgekia filipes (Dunn) R.Geesink,Afgekia filipes (Dunn) R.Geesink,Afgekia filipes (Dunn) R.Geesink,Afgekia filipes,Padbruggea filipes (Dunn) Craib,Padbruggea filipes
153580,Adenocarpus argyrophyllus (Rivas Goday) Rivas Mart.,Adenocarpus hispanicus subsp. argyrophyllus (Rivas Goday) Rivas Goday,Adenocarpus hispanicus subsp. argyrophyllus (Rivas Goday) Rivas Goday,Adenocarpus hispanicus subsp. argyrophyllus (Rivas Goday) Rivas Goday,Adenocarpus hispanicus,Adenocarpus argyrophyllus (Rivas Goday) Rivas Mart.,Adenocarpus argyrophyllus
155747,Cercis siliquastrum subsp. siliquastrum L.,Cercis siliquastrum L.,Cercis siliquastrum L.,Cercis siliquastrum L.,Cercis siliquastrum,Cercis siliquastrum subsp. siliquastrum L.,Cercis siliquastrum
156497,Astragalus pinetorum subsp. pinetorum Boiss.,Astragalus pinetorum Boiss.,Astragalus pinetorum Boiss.,Astragalus pinetorum Boiss.,Astragalus pinetorum,Astragalus pinetorum subsp. pinetorum Boiss.,Astragalus pinetorum
156572,Astragalus dactylocarpus subsp. dactylocarpus Boiss.,Astragalus dactylocarpus Boiss.,Astragalus dactylocarpus Boiss.,Astragalus dactylocarpus Boiss.,Astragalus dactylocarpus,Astragalus dactylocarpus subsp. dactylocarpus Boiss.,Astragalus dactylocarpus
156762,Astragalus callistachys subsp. callistachys Buhse,Astragalus callistachys Buhse,Astragalus callistachys Buhse,Astragalus callistachys Buhse,Astragalus callistachys,Astragalus callistachys subsp. callistachys Buhse,Astragalus callistachys
156851,Astragalus supervisus (Kuntze) E.Sheld.,Astragalus latifolius subsp. candolleanus Ponert,Astragalus latifolius subsp. candolleanus Ponert,Astragalus latifolius subsp. candolleanus Ponert,Astragalus latifolius,Astragalus supervisus (Kuntze) E.Sheld.,Astragalus supervisus
158002,Coronilla minima subsp. minima L.,Coronilla minima L.,Coronilla minima L.,Coronilla minima L.,Coronilla minima,Coronilla minima subsp. minima L.,Coronilla minima
158116,Onobrychis conferta subsp. conferta (Desf.) Desv.,Onobrychis conferta (Desf.) Desv.,Onobrychis conferta (Desf.) Desv.,Onobrychis conferta (Desf.) Desv.,Onobrychis conferta,Onobrychis conferta subsp. conferta (Desf.) Desv.,Onobrychis conferta
158447,Astragalus hypoglottis subsp. hypoglottis L.,Astragalus hypoglottis L.,Astragalus hypoglottis L.,Astragalus hypoglottis L.,Astragalus hypoglottis,Astragalus hypoglottis subsp. hypoglottis L.,Astragalus hypoglottis
158509,Astragalus psiloglottis DC.,Astragalus oxyglottis Steven ex M.Bieb.,Astragalus oxyglottis Steven ex M.Bieb.,Astragalus oxyglottis Steven ex M.Bieb.,Astragalus oxyglottis,Astragalus psiloglottis DC.,Astragalus psiloglottis
159158,Clitoria falcata var. falcata Lam.,Clitoria falcata Lam.,Clitoria falcata Lam.,Clitoria falcata Lam.,Clitoria falcata,Clitoria falcata var. falcata Lam.,Clitoria falcata
161075,Lotus glacialis (Boiss.) Pau,Lotus corniculatus subsp. glacialis (Boiss.) Valdés,Lotus corniculatus subsp. glacialis (Boiss.) Valdés,Lotus corniculatus subsp. glacialis (Boiss.) Valdés,Lotus corniculatus,Lotus glacialis (Boiss.) Pau,Lotus glacialis
161295,Argyrolobium pauciflorum (M.Bieb. ex Willd.) Hayek,Argyrolobium biebersteinii P.W.Ball,Argyrolobium biebersteinii P.W.Ball,Argyrolobium biebersteinii P.W.Ball,Argyrolobium biebersteinii,Argyrolobium pauciflorum (M.Bieb. ex Willd.) Hayek,Argyrolobium pauciflorum
163844,Campylotropis macrocarpa var. macrocarpa (Bunge) Rehder,Campylotropis macrocarpa (Bunge) Rehder,Campylotropis macrocarpa (Bunge) Rehder,Campylotropis macrocarpa (Bunge) Rehder,Campylotropis macrocarpa,Campylotropis macrocarpa var. macrocarpa (Bunge) Rehder,Campylotropis macrocarpa
164190,Caragana franchetiana var. franchetiana Kom.,Caragana franchetiana Kom.,Caragana franchetiana Kom.,Caragana franchetiana Kom.,Caragana franchetiana,Caragana franchetiana var. franchetiana Kom.,Caragana franchetiana
164196,Caragana jubata var. jubata (Pall.) Poir.,Caragana jubata (Pall.) Poir.,Caragana jubata (Pall.) Poir.,Caragana jubata (Pall.) Poir.,Caragana jubata,Caragana jubata var. jubata (Pall.) Poir.,Caragana jubata
165561,Cynometra polyandra Roxb.,Maniltoa polyandra (Roxb.) Harms,Maniltoa polyandra (Roxb.) Harms,Maniltoa polyandra (Roxb.) Harms,Maniltoa polyandra,Cynometra polyandra Roxb.,Cynometra polyandra
165677,Archidendron clypearia subsp. clypearia (Jack) I.C.Nielsen,Archidendron clypearia (Jack) I.C.Nielsen,Archidendron clypearia (Jack) I.C.Nielsen,Archidendron clypearia (Jack) I.C.Nielsen,Archidendron clypearia,Archidendron clypearia subsp. clypearia (Jack) I.C.Nielsen,Archidendron clypearia
166942,Pongamia pinnata (L.) Pierre,Millettia pinnata (L.) Panigrahi,Millettia pinnata (L.) Panigrahi,Millettia pinnata (L.) Panigrahi,Millettia pinnata,Pongamia pinnata (L.) Pierre,Pongamia pinnata
170204,Astragalus eremophilus subsp. eremophilus Boiss.,Astragalus eremophilus Boiss.,Astragalus eremophilus Boiss.,Astragalus eremophilus Boiss.,Astragalus eremophilus,Astragalus eremophilus subsp. eremophilus Boiss.,Astragalus eremophilus
170608,Brachypterum scandens (Roxb.) Miq.,Derris scandens (Roxb.) Benth.,Derris scandens (Roxb.) Benth.,Derris scandens (Roxb.) Benth.,Derris scandens,Brachypterum scandens (Roxb.) Miq.,Brachypterum scandens
172814,Astragalus permiensis C.A.Mey. ex Rupr.,Astragalus helmii Fisch. ex DC.,Astragalus helmii Fisch. ex DC.,Astragalus helmii Fisch. ex DC.,Astragalus helmii,Astragalus permiensis C.A.Mey. ex Rupr.,Astragalus permiensis
174327,Vicia orientalis (Boiss.) Bég. & Diratz.,Lens orientalis (Boiss.) Schmalh.,Lens orientalis (Boiss.) Schmalh.,Lens orientalis (Boiss.) Schmalh.,Lens orientalis,Vicia orientalis (Boiss.) Bég. & Diratz.,Vicia orientalis
176192,Aspalathus acuminata subsp. acuminata Lam.,Aspalathus acuminata Lam.,Aspalathus acuminata Lam.,Aspalathus acuminata Lam.,Aspalathus acuminata,Aspalathus acuminata subsp. acuminata Lam.,Aspalathus acuminata
176774,Lotus subbiflorus Lag.,Lotus hispidus Desf. ex DC.,Lotus hispidus Desf. ex DC.,Lotus hispidus Desf. ex DC.,Lotus hispidus,Lotus subbiflorus Lag.,Lotus subbiflorus
176937,Alhagi pseudalhagi (M.Bieb.) Fisch.,Alhagi maurorum Medik.,Alhagi maurorum Medik.,Alhagi maurorum Medik.,Alhagi maurorum,Alhagi pseudalhagi (M.Bieb.) Fisch.,Alhagi pseudalhagi
176947,Astragalus alopecuroides subsp. alopecuroides L.,Astragalus alopecuroides L.,Astragalus alopecuroides L.,Astragalus alopecuroides L.,Astragalus alopecuroides,Astragalus alopecuroides subsp. alopecuroides L.,Astragalus alopecuroides
