,v10_v12
number of old accepted species names,356292
old accepted species names are no longer accepted,3303
Number which are now Synonym of which (homotypic)/(heterotypic),2937/1640/1297
Number which are now Illegitimate of which (homotypic)/(heterotypic),200/80/120
Number which are now Unplaced of which (homotypic)/(heterotypic),130/0/130
Number which are now Invalid of which (homotypic)/(heterotypic),33/2/31
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Orthographic of which (homotypic)/(heterotypic),1/0/1
