,202207_202212
number of new accepted species names,423006
number of old accepted species names,418152
new accepted species names which were previously published,370821
number of new species names,981071
number of old species names,965735
new species names not in old,27493
species names have disappearedbut this could be due to orthographic changes with authorship,12157
