,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_w_authors
count,1363902,1369980,1369980,1369980,1369978,1328536,1328536,1328536.0,1328159,1328536,1418174.0,1276480,1415498,1418174,1418174,5024,1418174,27500,1376501,346067,348740,413768,1397653,141913,1417392,1396699,1396899,93964,579640,380915,459768,1418174,1397786,1375690.0,445370.0,41565,287721,454917.0,1418174,14097,1418156,1328579,1328579,1326730,1328579.0,1418174
unique,427258,429533,429541,454,9,34129,34130,,34115,2,,1276480,31,8,459,2,39521,2,181313,29,70682,20641,75099,2197,15864,236338,1135,1178,80770,357,9,1364017,234719,,,5351,1,,1418174,13270,2,358189,358191,357519,,1416295
top,731955-1,Rosa canina,Rosa canina L.,Asteraceae,Species,Rosa,Rosa L.,,30002432-2,Genus,,77303820-1,Species,Synonym,Asteraceae,×,Hieracium,×,vulgaris,var.,minor,L.,Kuntze,A.P.de Candolle,Revis. Gen. Pl.,: 13,(1891),", nom. illeg.",France,perennial,wet tropical,Rosa collina,DC.,,,L.,T,,985860-1,S. alba × S. euxina,N,Rosa canina,Rosa canina L.,731955-1,,Orchis angustifolia subf. immaculata Klinge
freq,1135,1135,1135,125732,1085810,8614,8614,,8614,1085767,,1,1027765,862621,133984,4986,18710,27495,2919,224139,2440,15636,31276,15723,30687,861,34447,37403,12001,72025,169844,12,10109,,,3908,287721,,1,17,789932,1135,1135,1135,,9
mean,,,,,,,,1787473.5303409167,,,1855779.9437530232,,,,,,,,,,,,,,,,,,,,,,,1855640.4198336834,1741478.732373083,,,1818192.9082184222,,,,,,,1815011.2818198993,
std,,,,,,,,1249165.017856846,,,1256921.968715901,,,,,,,,,,,,,,,,,,,,,,,1273366.1837625795,1265726.488970788,,,1256687.9127262144,,,,,,,1242974.3984804146,
min,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,,,,2.0,
25%,,,,,,,,291639.0,,,359404.25,,,,,,,,,,,,,,,,,,,,,,,361177.25,288713.25,,,271642.0,,,,,,,352676.0,
50%,,,,,,,,2480009.0,,,2525452.5,,,,,,,,,,,,,,,,,,,,,,,2523132.0,2458040.5,,,2501520.0,,,,,,,2493389.0,
75%,,,,,,,,2802758.0,,,2918474.75,,,,,,,,,,,,,,,,,,,,,,,2959531.0,2823236.75,,,2827696.0,,,,,,,2839403.5,
max,,,,,,,,3297079.0,,,3297642.0,,,,,,,,,,,,,,,,,,,,,,,3297636.0,3297641.0,,,3297079.0,,,,,,,3297382.0,
