,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_w_authors
count,1357912,1362086,1362086,1362086,1362084,1320862,1320862,1320862.0,1320785,1320862,1413916.0,1273224,1411140,1413901,1413916,4831,1413916,27268,1372448,344819,347594,410351,1393387,139265,1413116,1392336,1392179,92608,576354,377911,453120,1413916,1393528,1367760.0,429327.0,41053,276960,453688.0,1413916,13743,1413897,1320899,1320899,1319746,1320899.0,1413916
unique,425643,427522,427537,455,9,34078,34078,,34074,2,,1273224,33,8,460,3,39329,2,180584,31,70493,20685,74171,2223,15810,235285,1125,1184,80216,358,9,1358940,232835,,,5331,1,,1413916,12967,2,356284,356292,355767,,1411972
top,731955-1,Rosa canina,Rosa canina L.,Asteraceae,Species,Rosa,Rosa L.,,30002432-2,Genus,,77234908-1,Species,Synonym,Asteraceae,×,Hieracium,×,vulgaris,var.,minor,L.,Kuntze,A.P.de Candolle,Revis. Gen. Pl.,: 13,(1891),", nom. illeg.",France,perennial,wet tropical,Rosa collina,DC.,,,L.,T,,3287475-4,S. alba × S. euxina,N,Rosa canina,Rosa canina L.,731955-1,,Orchis angustifolia subf. immaculata Klinge
freq,1142,1142,1142,124663,1078878,8528,8528,,8528,1078841,,1,1024860,861117,133194,4791,18665,27263,2935,223152,2434,15484,31294,15708,30699,858,34445,36858,12345,71217,167099,12,10158,,,3827,276960,,1,17,787762,1142,1142,1142,,9
mean,,,,,,,,1786103.7117700411,,,1850461.4816141836,,,,,,,,,,,,,,,,,,,,,,,1847523.620633737,1702725.538796768,,,1820346.2664606513,,,,,,,1808323.2637499159,
std,,,,,,,,1248755.2847141402,,,1256166.842507531,,,,,,,,,,,,,,,,,,,,,,,1272732.3200396418,1264337.342495774,,,1255674.6759174832,,,,,,,1242025.3757924412,
min,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,,,,2.0,
25%,,,,,,,,291585.0,,,358226.75,,,,,,,,,,,,,,,,,,,,,,,357420.0,279886.0,,,272463.0,,,,,,,351735.0,
50%,,,,,,,,2479809.0,,,2522754.5,,,,,,,,,,,,,,,,,,,,,,,2518301.0,2436855.0,,,2502216.0,,,,,,,2490368.0,
75%,,,,,,,,2801741.0,,,2914178.25,,,,,,,,,,,,,,,,,,,,,,,2951782.0,2800623.0,,,2827809.0,,,,,,,2835300.0,
max,,,,,,,,3287542.0,,,3287576.0,,,,,,,,,,,,,,,,,,,,,,,3287570.0,3287575.0,,,3287542.0,,,,,,,3287543.0,
