,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_w_authors
count,1367410,1374099,1374099,1374099,1374099,1332674,1332674,1332674.0,1332345,1332674,1421777.0,1279806,1419099,1421777,1421777,5025,1421777,27673,1380065,347899,350577,415695,1401674,142160,1421013,1400346,1400516,95034,436867,383960,464491,1421777,1401674,1379999.0,455913.0,41851,293814,454889.0,1421777,14277,1421759,1332677,1332677,1331467,1332677.0,1421777
unique,428056,430208,430216,454,9,34104,34104,,34098,2,,1279806,31,8,457,2,39551,2,181688,29,71118,20559,75745,2190,15919,236946,1137,1191,67360,357,9,1368295,235912,,,5369,1,,1421777,13400,2,358921,358923,358483,,1419963
top,731955-1,Rosa canina,Rosa canina L.,Asteraceae,Species,Rosa,Rosa L.,,30002432-2,Genus,,84618-2,Species,Synonym,Asteraceae,×,Hieracium,×,vulgaris,var.,minor,L.,Kuntze,A.P.de Candolle,Revis. Gen. Pl.,: 13,(1891),", nom. illeg.",Madagascar,perennial,wet tropical,Rosa inermis,DC.,,,L.,T,,84618-2,S. alba × S. euxina,N,Rosa canina,Rosa canina L.,731955-1,,Orchis angustifolia subf. immaculata Klinge
freq,1109,1109,1109,126482,1088184,8559,8559,,8559,1088181,,1,1029494,865157,134643,4987,19093,27668,2906,225225,2446,15733,31357,15720,30693,866,34466,37723,6802,72991,171645,10,10079,,,3991,293814,,1,17,792323,1109,1109,1109,,9
mean,,,,,,,,1788801.4348565366,,,1859985.0212550913,,,,,,,,,,,,,,,,,,,,,,,1862503.4338256768,1765184.8171602916,,,1816875.9452943464,,,,,,,1819923.1665744963,
std,,,,,,,,1249144.6053873666,,,1257587.459961112,,,,,,,,,,,,,,,,,,,,,,,1274148.5018942754,1266739.7319130963,,,1256676.3296809199,,,,,,,1243778.8089664448,
min,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,,,,2.0,
25%,,,,,,,,291639.0,,,360377.0,,,,,,,,,,,,,,,,,,,,,,,362205.0,294815.0,,,271642.0,,,,,,,353281.0,
50%,,,,,,,,2479870.0,,,2527637.0,,,,,,,,,,,,,,,,,,,,,,,2525833.0,2469894.0,,,2500594.0,,,,,,,2495139.0,
75%,,,,,,,,2803130.0,,,2921678.0,,,,,,,,,,,,,,,,,,,,,,,2968467.0,2837268.0,,,2826590.0,,,,,,,2843223.0,
max,,,,,,,,3297079.0,,,3299963.0,,,,,,,,,,,,,,,,,,,,,,,3299949.0,3299961.0,,,3297079.0,,,,,,,3299851.0,
