,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_w_authors
count,1376100,1384510,1384510,1384510,1384510,1342907,1342907,1342907.0,1342488,1342907,1430585.0,1287691,1427885,1430585,1430585,5088,1430585,27992,1388716,350888,353588,420221,1410365,142446,1429828,1409050,1409214,96410,439792,388564,470917,1430585,1410375,1390485.0,461004.0,42477,298191,456107.0,1430585,14716,1430437,1342925,1342925,1341388,1342925.0,1430585
unique,430646,433163,433171,457,9,34197,34201,,34193,2,,1287691,31,8,460,2,39700,2,183019,29,71673,20878,77244,2184,16036,239896,1069,1243,67774,356,9,1377129,239187,,,5446,1,,1430585,13769,2,361631,361633,361088,,1428790
top,731955-1,Rosa canina,Rosa canina L.,Asteraceae,Species,Rosa,Rosa L.,,30002432-2,Genus,,17069810-1,Species,Synonym,Asteraceae,×,Hieracium,×,vulgaris,var.,minor,L.,Kuntze,A.P.de Candolle,Revis. Gen. Pl.,: 13,(1891),", nom. illeg.",Madagascar,perennial,wet tropical,Rosa inermis,DC.,,,L.,T,,17069810-1,S. alba × S. euxina,N,Rosa canina,Rosa canina L.,731955-1,,Orchis angustifolia subf. immaculata Klinge
freq,1128,1128,1128,128420,1097141,8741,8741,,8741,1097123,,1,1035134,870674,136437,5048,19487,27987,2935,227161,2463,15845,31363,15745,30696,874,34464,38270,6875,74341,173553,10,10070,,,4051,298191,,1,17,797237,1128,1128,1128,,9
mean,,,,,,,,1792290.5204463154,,,1869222.7784759381,,,,,,,,,,,,,,,,,,,,,,,1874626.8316882239,1768665.990744115,,,1812556.334884139,,,,,,,1830851.2366610197,
std,,,,,,,,1249463.2221525114,,,1258889.0341580885,,,,,,,,,,,,,,,,,,,,,,,1275363.2376014178,1266935.760932084,,,1257524.291396083,,,,,,,1245291.4958851,
min,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,,,,2.0,
25%,,,,,,,,293460.0,,,362673.0,,,,,,,,,,,,,,,,,,,,,,,365153.0,296525.0,,,270160.0,,,,,,,355252.0,
50%,,,,,,,,2482232.0,,,2532589.0,,,,,,,,,,,,,,,,,,,,,,,2532552.0,2473856.0,,,2498088.0,,,,,,,2499319.0,
75%,,,,,,,,2806243.0,,,2929013.0,,,,,,,,,,,,,,,,,,,,,,,2981451.0,2840707.25,,,2821875.0,,,,,,,2852209.0,
max,,,,,,,,3310038.0,,,3310955.0,,,,,,,,,,,,,,,,,,,,,,,3310954.0,3310952.0,,,3310038.0,,,,,,,3310951.0,
