,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_w_authors
count,1382596,1392761,1392761,1392761,1392761,1351013,1351013,1351013.0,1350648,1351013,1438620.0,1294641,1435902,1438620,1438620,5199,1438620,28407,1396593,352869,355587,425163,1418378,142747,1437875,1417106,1417259,97488,442411,394790,477854,1438620,1418393,1399024.0,466591.0,43142,303270,458274.0,1438620,15500,1438471,1351018,1351018,1349260,1351018.0,1438620
unique,432939,435884,435893,457,9,34177,34179,,34171,2,,1294641,33,8,460,2,39848,2,184046,31,72106,21225,78666,2177,16032,241816,1078,1247,68434,355,9,1385204,242400,,,5514,1,,1438620,14463,2,364364,364367,363716,,1436813
top,731955-1,Rosa canina,Rosa canina L.,Asteraceae,Species,Rosa,Rosa L.,,30002432-2,Genus,,322169-2,Species,Synonym,Asteraceae,×,Hieracium,×,vulgaris,var.,minor,L.,Kuntze,A.P.de Candolle,Revis. Gen. Pl.,: 13,(1891),", nom. illeg.",Madagascar,perennial,wet tropical,Rosa inermis,DC.,,,L.,T,,322169-2,S. alba × S. euxina,N,Rosa canina,Rosa canina L.,731955-1,,Orchis angustifolia subf. immaculata Klinge
freq,1128,1128,1128,129568,1106460,8761,8761,,8761,1106455,,1,1041012,874900,137328,5159,19805,28402,2939,228137,2470,16009,31364,15732,30698,893,34488,38457,6864,75717,175451,10,10072,,,4135,303270,,1,17,801425,1128,1128,1128,,9
mean,,,,,,,,1793517.2584253445,,,1877761.8584747883,,,,,,,,,,,,,,,,,,,,,,,1884184.8209201558,1771157.8139934118,,,1812874.431176545,,,,,,,1839159.3557658002,
std,,,,,,,,1250128.902595004,,,1260096.409405792,,,,,,,,,,,,,,,,,,,,,,,1276259.0813265862,1267720.166455921,,,1257721.2792764942,,,,,,,1246808.0004009937,
min,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,,,,2.0,
25%,,,,,,,,293215.0,,,364810.75,,,,,,,,,,,,,,,,,,,,,,,367668.0,297764.5,,,270569.0,,,,,,,357076.25,
50%,,,,,,,,2482360.0,,,2537118.5,,,,,,,,,,,,,,,,,,,,,,,2538166.0,2474815.0,,,2498236.0,,,,,,,2503177.0,
75%,,,,,,,,2808299.0,,,2935756.25,,,,,,,,,,,,,,,,,,,,,,,2993208.0,2842981.0,,,2822413.0,,,,,,,2860734.75,
max,,,,,,,,3320261.0,,,3320853.0,,,,,,,,,,,,,,,,,,,,,,,3320843.0,3320807.0,,,3320808.0,,,,,,,3320800.0,
