,202306_202207
number of new accepted species names,418152
number of old accepted species names,414787
new accepted species names which were previously published,351265
number of new species names,965735
number of old species names,1013334
new species names not in old,62942
species names have disappearedbut this could be due to orthographic changes with authorship,110541
