,v13_v14
number of old unaccepted species names,672684
old unaccepted species names are now accepted,2204
Number of old Synonyms which are now accepted,1755
Number of old Invalids which are now accepted,23
Number of old Unplaceds which are now accepted,253
Number of old Illegitimates which are now accepted,170
Number of old Misapplieds which are now accepted,5
