,taxon_name_w_authors,v10_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species,v13_direct_accepted_name_w_author,v13_direct_accepted_species
2849,Acalypha brasiliensis var. cordata (Müll.Arg.) Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. asterotricha (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
2850,Acalypha brasiliensis var. glabrata Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
2851,Acalypha brasiliensis var. longipes Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
2852,Acalypha brasiliensis var. maxima Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. asterotricha (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
3117,Acalypha integrifolia var. crateriana Coode,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata,Acalypha crateriana (Coode) I.Montero & Cardiel,Acalypha crateriana
3170,Acalypha dupraeana var. sylvicola Baill.,Acalypha oxyodonta (Müll.Arg.) Müll.Arg.,Acalypha oxyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
3392,Acalypha major Baill.,Acalypha weddelliana Baill.,Acalypha weddelliana Baill.,Acalypha accedens Müll.Arg.,Acalypha accedens,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
3394,Acalypha brasiliensis var. psilophylla Müll.Arg.,Acalypha weddelliana Baill.,Acalypha weddelliana Baill.,Acalypha accedens Müll.Arg.,Acalypha accedens,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
4495,Ajuga pyramidalis f. albida Svanlund,Ajuga pyramidalis L.,Ajuga pyramidalis L.,Ajuga pyramidalis L.,Ajuga pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis
4504,Ajuga nanti Boreau,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,Ajuga reptans L.,Ajuga reptans
4507,Ajuga vulgaris subsp. pyramidalis (L.) Rouy,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,Ajuga pyramidalis L.,Ajuga pyramidalis
4508,Ajuga genevensis subsp. pyramidalis (L.) Bonnier & Layens,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,Ajuga pyramidalis L.,Ajuga pyramidalis
4912,Alnus incana var. lobata Wittr.,Alnus incana (L.) Moench,Alnus incana (L.) Moench,Alnus incana (L.) Moench,Alnus incana,Alnus incana subsp. incana,Alnus incana
4946,Alnus maritima subsp. georgiensis J.A.Schrad. & W.R.Graves,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima,Alnus maritima subsp. georgiensis J.A.Schrad. & W.R.Graves,Alnus maritima
4947,Alnus maritima subsp. oklahomensis J.A.Schrad. & W.R.Graves,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima,Alnus maritima subsp. oklahomensis J.A.Schrad. & W.R.Graves,Alnus maritima
4949,Alnus oblongata var. oblonga Regel,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima,Alnus maritima subsp. maritima,Alnus maritima
5850,Lankesteriana Karremans,Anathallis Barb.Rodr.,Anathallis Barb.Rodr.,Anathallis Barb.Rodr.,,Lankesteriana Karremans,
5977,Angophora lanceolata var. angustifolia A.Gray,Angophora bakeri E.C.Hall,Angophora bakeri E.C.Hall,Angophora bakeri E.C.Hall,Angophora bakeri,Angophora bakeri subsp. bakeri,Angophora bakeri
5978,Metrosideros apocynifolia Salisb.,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata,Angophora costata subsp. costata,Angophora costata
5979,Eucalyptus apocynifolia (Salisb.) Brooker,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata,Angophora costata subsp. costata,Angophora costata
5981,Angophora lanceolata var. hispida A.Cunn. ex A.Gray,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata,Angophora costata subsp. costata,Angophora costata
6177,Angraecum longinode Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens,Angraecum costatum Frapp. ex Cordem.,Angraecum costatum
6361,Mystacidium spicatum Cordem.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum,Angraecum parvulum Ayres ex S.Moore,Angraecum parvulum
8666,Asperula saxatilis Lam.,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida,Cynanchica pyrenaica subsp. cynanchica (L.) P.Caputo & Del Guacchio,Cynanchica pyrenaica
8758,Aspidosperma marcgravianum Woodson,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum,Aspidosperma marcgravianum Woodson,Aspidosperma marcgravianum
8961,Attalea camposportoana Burret,Attalea apoda Burret,Attalea apoda Burret,Attalea exigua Drude,Attalea exigua,Attalea compta Mart.,Attalea compta
8971,Attalea gomphococca Mart.,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata
8972,Scheelea gomphococca (Mart.) Burret,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata
8977,Attalea pycnocarpa Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea sagotii
9015,Attalea phalerata var. concinna L.R.Moreno & O.I.Moreno,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea cephalotus Poepp. ex Mart.,Attalea cephalotus
9021,Scheelea leandroana Barb.Rodr.,Attalea princeps Mart.,Attalea princeps Mart.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea
9454,Baissea laxiflora Stapf,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora,Baissea laxiflora Stapf,Baissea laxiflora
9455,Baissea thollonii Hua,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora,Baissea laxiflora Stapf,Baissea laxiflora
9661,Elaeagia glomiflora Standl.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis,Bathysa mollis (Rusby) C.M.Taylor & Mald.,Bathysa mollis
9663,Elaeagia mollis Rusby,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis,Bathysa mollis (Rusby) C.M.Taylor & Mald.,Bathysa mollis
10234,Betula pubescens f. helvola Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10237,Betula pubescens f. falcata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10238,Betula pubescens f. latisquama Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10239,Betula pubescens f. obtusata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10240,Betula pubescens f. barbara Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10241,Betula pubescens f. submontana Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10242,Betula pubescens f. nemoralis Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10243,Betula pubescens f. nemorosa Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10244,Betula pubescens f. auriculata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10246,Betula pubescens f. mellifera Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10247,Betula pubescens f. dumetorum Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10248,Betula pubescens f. parallela Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10249,Betula pubescens f. stenocarpa Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10250,Betula pubescens f. curtipendula Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10251,Betula pubescens f. torminalis Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10252,Betula pubescens f. turgida Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10253,Betula pubescens f. amoena Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10254,Betula pubescens f. ludens Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10255,Betula pubescens f. depressa Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10256,Betula pubescens f. suberecta Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10257,Betula pubescens f. horrida Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10258,Betula pubescens f. hirsuta Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10259,Betula pubescens f. populifomis Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10260,Betula pubescens f. cordata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10261,Betula pubescens f. reticulata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
12329,Trias pusilla J.Joseph & H.Deka,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme,"Bulbophyllum jejosephii J.J.Verm., Schuit. & de Vogel",Bulbophyllum jejosephii
13502,Phyllotaenium André,Caladium Vent.,Caladium Vent.,Caladium Vent.,,Phyllotaenium André,
13944,"Calamus pachypus W.J.Baker, Bayton, J.Dransf. & Maturb.",Calamus vitiensis Warb. ex Becc.,Calamus vitiensis Warb. ex Becc.,Calamus vitiensis Warb. ex Becc.,Calamus vitiensis,"Calamus pachypus W.J.Baker, Bayton, J.Dransf. & Maturb.",Calamus pachypus
13950,Paraphaius J.W.Zhai & F.W.Xing,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13951,Pachyne Salisb.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13952,Cyanorkis Thouars,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13956,Limatodis Blume,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13963,Tankervillia Link,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13966,Hecabe Raf.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13968,Pesomeria Lindl.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13970,Phaius Lour.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13972,Phajus Hassk.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
14206,Calanthe candida Bosser,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica,Calanthe candida Bosser,Calanthe candida
14249,Calanthe nephroglossa Schltr.,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata,Calanthe nephroglossa Schltr.,Calanthe nephroglossa
14641,Callitriche palustris var. bifida L.,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica,Callitriche palustris subsp. palustris,Callitriche palustris
14666,Callitriche capricorni R.Mason,Callitriche sonderi Hegelm.,Callitriche sonderi Hegelm.,Callitriche sonderi Hegelm.,Callitriche sonderi,Callitriche capricorni R.Mason,Callitriche capricorni
15011,Martiusella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Martiusella Pierre,
15023,Ragala Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Ragala Pierre,
15025,Chloroluma Baill.,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Chloroluma Baill.,
17025,Cheirostylis pabongensis Lucksom,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis,Cheirostylis yunnanensis var. yunnanensis,Cheirostylis yunnanensis
17027,Cheirostylis munnacampensis A.N.Rao,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis,Cheirostylis yunnanensis var. yunnanensis,Cheirostylis yunnanensis
17028,Cheirostylis josephi Schltr.,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis,Cheirostylis yunnanensis var. yunnanensis,Cheirostylis yunnanensis
17361,Prieurella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Prieurella Pierre,
17414,Achrouteria Eyma,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Achrouteria Eyma,
17434,Cornuella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Cornuella Pierre,
17437,Fibrocentrum Pierre ex Glaziou,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Chloroluma Baill.,
17893,Sarcanthus flagellaris Schltr.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17894,Cleisostoma flagellare (Schltr.) Garay,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17895,Sarcanthus flagelliformis Rolfe ex Downie,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17896,Cleisostoma flagelliforme (Rolfe ex Downie) Garay,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17898,Cleisostoma crucicallum (Burkill) Garay,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17899,Sarcanthus geoffrayi Guillaumin,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17900,Sarcanthus crucicallus (Burkill) Seidenf. & Smitinand,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17901,Saccolabium crucicallus Burkill,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
18216,Clerodendrum capitatum var. conglobatum (Baker) B.Thomas,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18218,Clerodendrum capitatum var. talbotii (Wernham) B.Thomas,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18219,Clerodendrum conglobatum Baker,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18220,Clerodendrum capitatum Hook.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18222,Clerodendrum whitfieldii Seem.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18223,Clerodendrum talbotii Wernham,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18224,Clerodendrum obanense Wernham,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18226,Siphonanthus conglobatus (Baker) Hiern,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18925,Exorrhiza vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
18926,Clinostigma savaiiense Christoph.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
18927,Clinostigma vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
19319,Coelogyne cycnoches C.S.P.Parish & Rchb.f.,Coelogyne fuscescens Lindl.,Coelogyne fuscescens Lindl.,Coelogyne fuscescens Lindl.,Coelogyne fuscescens,Coelogyne cycnoches C.S.P.Parish & Rchb.f.,Coelogyne cycnoches
19875,Congea forbesii var. ridleyana Munir,Congea forbesii King & Gamble,Congea forbesii King & Gamble,Congea forbesii King & Gamble,Congea forbesii,Congea forbesii var. ridleyana Munir,Congea forbesii
