,201905_202306,Percentages
original_names,1046233,100.0
total_disagreements,54200,5.180490387896386
species_disagreements,19198,1.834964104554148
genus_disagreements,3546,0.33893023829299973
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
