,201905_202112
number of old unaccepted species names,457554
old unaccepted species names are now accepted,10843
Number of old Synonyms which are now accepted,10816
Number of old Heterotypicsynonyms which are now accepted,25
Number of old Homotypicsynonyms which are now accepted,3
