,201807_201905
number of new accepted species names,370669
number of old accepted species names,371192
new accepted species names which were previously published,306021
number of new species names,807543
number of old species names,811581
new species names not in old,67771
species names have disappearedbut this could be due to orthographic changes with authorship,71809
