,201905_202306
number of new accepted species names,414787
number of old accepted species names,370669
new accepted species names which were previously published,252377
number of new species names,1013334
number of old species names,807543
new species names not in old,360762
species names have disappearedbut this could be due to orthographic changes with authorship,154971
