,201905_202412
number of new accepted species names,426506
number of old accepted species names,370669
new accepted species names which were previously published,260120
number of new species names,1052971
number of old species names,807543
new species names not in old,353506
species names have disappearedbut this could be due to orthographic changes with authorship,108078
