,201807_202412
number of old unaccepted species names,461146
old unaccepted species names are now accepted,11165
Number of old Synonyms which are now accepted,11132
Number of old Homotypicsynonyms which are now accepted,5
Number of old Heterotypicsynonyms which are now accepted,30
