,v10_v13
number of old unaccepted species names,667697
old unaccepted species names are now accepted,2229
Number of old Synonyms which are now accepted,1688
Number of old Unplaceds which are now accepted,333
Number of old Invalids which are now accepted,20
Number of old Illegitimates which are now accepted,184
Number of old Misapplieds which are now accepted,4
