,taxon_name_w_authors,202212_accepted_name_w_author,202312_taxon_name_w_authors,202312_chained_accepted_name_w_author,202312_chained_accepted_species,202312_direct_accepted_name_w_author,202312_direct_accepted_species,202312_chained_accepted_genus,202312_direct_accepted_genus
count,3453,3453,3453,3453,3294,3453,3307,3453,3453
unique,3453,1737,1737,1725,1595,1955,1785,795,710
top,Haenkea Ruiz & Pav.,Pennisetum polystachion (L.) Schult.,Pennisetum polystachion (L.) Schult.,Setaria parviflora (Poir.) Kerguélen,Setaria parviflora,Cenchrus setosus subsp. setosus ,Cenchrus setosus,Pilosella,Vernonia
freq,1,40,40,40,40,38,39,154,293
