,taxon_name_w_authors,v14_direct_accepted_name_w_author,v14_direct_accepted_species
count,1353512,1353512,1312499
unique,1353512,427426,357268
top,Panicum flexuosum Scribn. & Merr.,Rosa canina L.,Rosa canina
freq,1,1079,1079
