,v12_v13
number of old accepted species names,358923
old accepted species names are no longer accepted,2383
Number which are now Synonym of which (homotypic)/(heterotypic),1995/1332/663
Number which are now Unplaced of which (homotypic)/(heterotypic),160/0/160
Number which are now Illegitimate of which (homotypic)/(heterotypic),198/77/121
Number which are now Invalid of which (homotypic)/(heterotypic),27/1/26
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
