,v11_v13
number of old unaccepted species names,668725
old unaccepted species names are now accepted,1622
Number of old Synonyms which are now accepted,1213
Number of old Unplaceds which are now accepted,208
Number of old Illegitimates which are now accepted,178
Number of old Invalids which are now accepted,18
Number of old Misapplieds which are now accepted,5
