,202306_202212
number of new accepted species names,423006
number of old accepted species names,414787
new accepted species names which were previously published,357219
number of new species names,981071
number of old species names,1013334
new species names not in old,51591
species names have disappearedbut this could be due to orthographic changes with authorship,83854
