,201807_202212
number of new accepted species names,423006
number of old accepted species names,371192
new accepted species names which were previously published,246131
number of new species names,981071
number of old species names,811581
new species names not in old,375372
species names have disappearedbut this could be due to orthographic changes with authorship,205882
