,201807_202306
number of old unaccepted species names,461146
old unaccepted species names are now accepted,10959
Number of old Synonyms which are now accepted,10930
Number of old Homotypicsynonyms which are now accepted,5
Number of old Heterotypicsynonyms which are now accepted,25
