,202112_202204,Percentages
original_names,1246738,100.0
total_disagreements,78,0.0062563265096596075
species_disagreements,31,0.002486488741018562
genus_disagreements,15,0.0012031397133960783
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
