,taxon_name_w_authors,201807_accepted_name_w_author,202207_taxon_name_w_authors,202207_chained_accepted_name_w_author,202207_chained_accepted_species
count,798074,798074,798074,798074,786267
unique,798074,293167,293167,280677,257191
top,Zygostigma Griseb.,Solanum tuberosum L.,Solanum tuberosum L.,Solanum tuberosum L.,Solanum tuberosum
freq,1,612,612,612,612
