,taxon_name_w_authors,202406_direct_accepted_name_w_author,202406_direct_accepted_species
count,863705,863705,853099
unique,863705,320383,283457
top,Hieracium ogwenii E.F.Linton,Mentha longifolia subsp. longifolia ,Mentha longifolia
freq,1,375,430
