,201807_202406,Percentages
original_names,1051028,100.0
total_disagreements,62139,5.912211663247792
species_disagreements,18908,1.7990005975102472
genus_disagreements,2898,0.27573004715383415
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
