,Model,R-squared
0,Linear,0.33664388445600435
1,LOESS,0.4294978655505207
2,Polynomial 2,0.42045601074531636
3,Polynomial 3,0.4753740614895242
4,Polynomial 4,0.3441648807472346
5,Polynomial 5,0.22845918176469282
6,Polynomial 6,0.16425503795429408
7,Polynomial 7,0.12813012571633065
