,taxon_name_w_authors,v12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species,v13_direct_accepted_name_w_author,v13_direct_accepted_species
4305,Mesembryanthemum lacunatum N.E.Br.,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana,Eberlanzia velutina (L.Bolus) Klak & P.C.van Wyk,Eberlanzia velutina
6062,Myrica pumila (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera,Myrica pusilla Raf.,Myrica pusilla
8983,Piptadenia peregrina var. falcata (Benth.) Chodat & Hassl.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina,Anadenanthera falcata (Benth.) Speg.,Anadenanthera falcata
8984,Anadenanthera peregrina var. falcata (Benth.) Altschul,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina,Anadenanthera falcata (Benth.) Speg.,Anadenanthera falcata
8985,Anadenanthera falcata (Benth.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina,Anadenanthera falcata (Benth.) Speg.,Anadenanthera falcata
9687,Coprosma grandifolia Hook.f.,Coprosma lucida var. lucida,Coprosma lucida var. lucida,Coprosma lucida var. lucida,Coprosma lucida,Coprosma grandifolia Hook.f.,Coprosma grandifolia
9823,Rubus foliosus var. monticola (Boulay) Sudre,Rubus foliosus Weihe,Rubus foliosus Weihe,Rubus foliosus Weihe,Rubus foliosus,Rubus pallidus Weihe,Rubus pallidus
9873,Quercus × tlemcenensis (A.DC.) Villar,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis
9874,Quercus mirbeckii f. tlemcenensis (A.DC.) Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis
9875,Quercus faginea var. tlemcenensis (A.DC.) Maire,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis
9876,Quercus faginea subsp. tlemcenensis (A.DC.) Maire & Weiller ex Greuter & Burdet,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis
9877,Quercus broteroi subsp. tlemcenensis (A.DC.) F.M.Vázquez & Coombes,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis
10557,Coffea arabica var. angustifolia (Roxb.) Miq. ex A.Froehner,Pittosporum moluccanum (Lam.) Miq.,Pittosporum moluccanum (Lam.) Miq.,Pittosporum moluccanum (Lam.) Miq.,Pittosporum moluccanum,Pittosporum timorense Blume,Pittosporum timorense
12995,Ficus courtallensis (Miq.) Baill.,Ficus arnottiana (Miq.) Miq.,Ficus arnottiana (Miq.) Miq.,Ficus arnottiana (Miq.) Miq.,Ficus arnottiana,Ficus hispida var. hispida,Ficus hispida
16894,Morella pumila (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera,Myrica pusilla Raf.,Myrica pusilla
16895,Cerothamnus pumilus (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera,Myrica pusilla Raf.,Myrica pusilla
17917,Rosa × involuta var. wilsonii (Borrer) Baker,Rosa × involuta Sm.,Rosa × involuta Sm.,Rosa × involuta Sm.,Rosa × involuta,Rosa × andrzeiowskii Steven ex Besser,Rosa × andrzeiowskii
18335,Passiflora foetida var. riparia (C.Wright ex Griseb.) Killip,Passiflora ciliata var. ciliata,Passiflora ciliata var. ciliata,Passiflora ciliata var. ciliata,Passiflora ciliata,Passiflora wrightiana H.T.Svoboda,Passiflora wrightiana
22111,Lomandra micrantha var. sororia (Benth.) H.B.Will.,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha,Lomandra oreophila B.J.Conn & A.L.Quirico,Lomandra oreophila
