,taxon_name_w_authors,v13_direct_accepted_name_w_author,v13_direct_accepted_species
count,1369277,1369277,1328073
unique,1369277,429619,358647
top,Cincinalis tomentosa Desv.,Rosa canina L.,Rosa canina
freq,1,1089,1089
