,taxon_name_w_authors,202306_accepted_name_w_author,202412_taxon_name_w_authors,202412_chained_accepted_name_w_author,202412_chained_accepted_species,202412_direct_accepted_name_w_author,202412_direct_accepted_species
count,38767,38767,38767,38767,38224,38767,38317
unique,38767,12383,12383,12304,11390,14943,13076
top,Polyspora tonkinensis (Pit.) S.X.Yang,Mentha longifolia (L.) L.,Mentha longifolia (L.) L.,Mentha longifolia (L.) L.,Mentha longifolia,Mentha longifolia subsp. longifolia ,Mentha longifolia
freq,1,246,246,246,246,247,247
