,202306_202306
number of new accepted species names,414787
number of old accepted species names,414787
new accepted species names which were previously published,369025
number of new species names,1013334
number of old species names,1013334
new species names not in old,0
species names have disappearedbut this could be due to orthographic changes with authorship,0
