,v10_v11
number of old accepted species names,356292
old accepted species names are no longer accepted,1720
Number which are now Unplaced of which (homotypic)/(heterotypic),103/0/103
Number which are now Synonym of which (homotypic)/(heterotypic),1400/841/559
Number which are now Illegitimate of which (homotypic)/(heterotypic),188/69/119
Number which are now Invalid of which (homotypic)/(heterotypic),24/1/23
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Orthographic of which (homotypic)/(heterotypic),1/0/1
