,202212_202207
number of new accepted species names,418152
number of old accepted species names,423006
new accepted species names which were previously published,374453
number of new species names,965735
number of old species names,981071
new species names not in old,12157
species names have disappearedbut this could be due to orthographic changes with authorship,27493
