,202212_202212
number of new accepted species names,423006
number of old accepted species names,423006
new accepted species names which were previously published,380719
number of new species names,981071
number of old species names,981071
new species names not in old,0
species names have disappearedbut this could be due to orthographic changes with authorship,0
