,taxon_name_w_authors,v10_11_12_13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species,v14_chained_accepted_genus,v14_direct_accepted_genus
count,6831,6831,6831,6831,6521,6831,6530,6831,6831
unique,6831,2889,2889,2882,2707,3364,3108,1335,1373
top,Austrocylindropuntia colubrina (A.Cast.) Backeb.,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium,Eruca sativa Mill.,Achillea borealis,Rosa,Rosa
freq,1,67,67,67,67,46,49,157,157
