,v10_11_12_13_v14,Percentages
original_names,1359750,100.0
total_disagreements,13396,0.9851810994668138
species_disagreements,6831,0.5023717595146167
genus_disagreements,719,0.052877367163081446
unresolved_via_chaining_despite_a_direct_resolution,15,0.0011031439602868175
