,202312_202204
number of new accepted species names,417460
number of old accepted species names,419760
new accepted species names which were previously published,340950
number of new species names,965566
number of old species names,1021625
new species names not in old,98987
species names have disappearedbut this could be due to orthographic changes with authorship,155046
