,201905_202204
number of new accepted species names,417460
number of old accepted species names,370669
new accepted species names which were previously published,277869
number of new species names,965566
number of old species names,807543
new species names not in old,306091
species names have disappearedbut this could be due to orthographic changes with authorship,148068
