,201905_202112
number of new accepted species names,416165
number of old accepted species names,370669
new accepted species names which were previously published,277847
number of new species names,964986
number of old species names,807543
new species names not in old,305493
species names have disappearedbut this could be due to orthographic changes with authorship,148050
