,201807_202406
number of old unaccepted species names,461146
old unaccepted species names are now accepted,10926
Number of old Synonyms which are now accepted,10895
Number of old Homotypicsynonyms which are now accepted,5
Number of old Heterotypicsynonyms which are now accepted,27
