,taxon_name_w_authors,v10_accepted_name_w_author,v11_taxon_name_w_authors,v11_chained_accepted_name_w_author,v11_chained_accepted_species,v11_direct_accepted_name_w_author,v11_direct_accepted_species,v11_chained_accepted_genus,v11_direct_accepted_genus
56178,Dipladenia tetradenia Rusby,Odontadenia lutea (Vell.) Markgr.,Odontadenia lutea (Vell.) Markgr.,Odontadenia lutea (Vell.) Markgr.,Odontadenia lutea,Mandevilla alexicaca (Mart. ex Stadelm.) J.F.Morales & A.Fuentes,Mandevilla alexicaca,Odontadenia,Mandevilla
82777,Metrosideros pictipetala Blanco,Xanthostemon verus (Roxb.) Peter G.Wilson,Xanthostemon verus (Roxb.) Peter G.Wilson,Xanthostemon verus (Roxb.) Peter G.Wilson,Xanthostemon verus,Decaspermum parviflorum subsp. parviflorum,Decaspermum parviflorum,Xanthostemon,Decaspermum
84288,Specklinia minutissima (Luer) Luer,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata,Specklinia minutissima (Luer) Luer,Specklinia minutissima,Anathallis,Specklinia
84290,Lankesteriana minutissima (Luer) Karremans,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata,Specklinia minutissima (Luer) Luer,Specklinia minutissima,Anathallis,Specklinia
84296,Pleurothallis minutissima Luer,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata,Specklinia minutissima (Luer) Luer,Specklinia minutissima,Anathallis,Specklinia
95913,Nidularium lindenii Regel,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta,Edmundoa lindenii (Regel) Leme,Edmundoa lindenii,Hohenbergia,Edmundoa
120183,Ixia striata Vahl,Ixia latifolia D.Delaroche,Ixia latifolia D.Delaroche,Ixia latifolia D.Delaroche,Ixia latifolia,Tritonia gladiolaris (Lam.) Goldblatt & J.C.Manning,Tritonia gladiolaris,Ixia,Tritonia
124295,Zingiber truncatum Stokes,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet,Curcuma zedoaria (Christm.) Roscoe,Curcuma zedoaria,Zingiber,Curcuma
174752,Hordeum sieberianum Besser,Triticum aestivum subsp. compactum (Host) H.Messik.,Triticum aestivum subsp. compactum (Host) H.Messik.,Triticum aestivum subsp. compactum (Host) H.Messik.,Triticum aestivum,Hordeum bulbosum L.,Hordeum bulbosum,Triticum,Hordeum
185104,Stachytarpheta fiebrigii Moldenke,Citharexylum amabile (Bocq.) Christenh. & Byng,Citharexylum amabile (Bocq.) Christenh. & Byng,Citharexylum amabile (Bocq.) Christenh. & Byng,Citharexylum amabile,Stachytarpheta fiebrigii Moldenke,Stachytarpheta fiebrigii,Citharexylum,Stachytarpheta
186553,Agropyron repens var. littorale (Mutel) Fiori,Thinopyrum acutum (DC.) Banfi,Thinopyrum acutum (DC.) Banfi,Thinopyrum acutum (DC.) Banfi,Thinopyrum acutum,Elymus athericus (Link) Kerguélen,Elymus athericus,Thinopyrum,Elymus
186561,Agropyron repens subsp. littorale (Mutel) Bonnier,Thinopyrum acutum (DC.) Banfi,Thinopyrum acutum (DC.) Banfi,Thinopyrum acutum (DC.) Banfi,Thinopyrum acutum,Elymus athericus (Link) Kerguélen,Elymus athericus,Thinopyrum,Elymus
214335,Turraea thouarsiana (Baill.) Cavaco & Keraudren,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Olax psittacorum,Turraea thouarsiana (Baill.) Cavaco & Keraudren,Turraea thouarsiana,Olax,Turraea
214338,Olax thouarsiana Baill.,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Olax psittacorum,Turraea thouarsiana (Baill.) Cavaco & Keraudren,Turraea thouarsiana,Olax,Turraea
222704,Helianthemum racemosum (L.) Pau,Tuberaria guttata (L.) Fourr.,Tuberaria guttata (L.) Fourr.,Tuberaria guttata (L.) Fourr.,Tuberaria guttata,Helianthemum violaceum subsp. violaceum,Helianthemum violaceum,Tuberaria,Helianthemum
