,v10_v11,Percentages
original_names,1359750,100.0
total_disagreements,3312,0.24357418643132928
species_disagreements,1433,0.10538701967273396
genus_disagreements,135,0.009928295642581356
unresolved_via_chaining,12,0.000882515168229454
