,202204_202412
number of new accepted species names,426506
number of old accepted species names,417460
new accepted species names which were previously published,322193
number of new species names,1052971
number of old species names,965566
new species names not in old,187407
species names have disappearedbut this could be due to orthographic changes with authorship,100002
