,201807_202406
number of new accepted species names,422863
number of old accepted species names,371192
new accepted species names which were previously published,245980
number of new species names,1037275
number of old species names,811581
new species names not in old,367745
species names have disappearedbut this could be due to orthographic changes with authorship,142051
