,202306_202204
number of new accepted species names,417460
number of old accepted species names,414787
new accepted species names which were previously published,351244
number of new species names,965566
number of old species names,1013334
new species names not in old,62809
species names have disappearedbut this could be due to orthographic changes with authorship,110577
