,taxon_name_w_authors,202212_direct_accepted_name_w_author,202212_direct_accepted_species
count,798105,798105,787959
unique,798105,325818,288643
top,Hedyotis macrophylla Wall. ex Wight & Arn.,Solanum tuberosum L.,Mentha longifolia
freq,1,335,422
