,taxon_name_w_authors,201807_accepted_name_w_author,202212_taxon_name_w_authors,202212_chained_accepted_name_w_author,202212_chained_accepted_species
count,801583,801583,801583,801583,789778
unique,801583,293756,293756,280311,256903
top,Zygostigma Griseb.,Solanum tuberosum L.,Solanum tuberosum L.,Solanum tuberosum L.,Solanum tuberosum
freq,1,612,612,612,612
