,taxon_name_w_authors,v14_direct_accepted_name_w_author,v14_direct_accepted_species
count,1339038,1339038,1298273
unique,1339038,424692,355014
top,Panicum flexuosum Scribn. & Merr.,Rosa canina L.,Rosa canina
freq,1,1078,1078
