,v10_v14,Percentages
original_names,1359750,100.0
total_disagreements,13303,0.9783416069130355
species_disagreements,6826,0.5020040448611878
genus_disagreements,718,0.052803824232395664
unresolved_via_chaining_despite_a_direct_resolution,25,0.0018385732671446957
