,v13_v14
number of new accepted species names,364367
number of old accepted species names,361633
new accepted species names which were previously published,359549
number of new species names,1039899
number of old species names,1034031
new species names not in old,10408
species names have disappearedbut this could be due to orthographic changes with authorship,4540
