,201807_202204
number of new accepted species names,417460
number of old accepted species names,371192
new accepted species names which were previously published,248040
number of new species names,965566
number of old species names,811581
new species names not in old,360620
species names have disappearedbut this could be due to orthographic changes with authorship,206635
