,taxon_name_w_authors,201905_accepted_name_w_author,202312_taxon_name_w_authors,202312_chained_accepted_name_w_author,202312_chained_accepted_species,202312_direct_accepted_name_w_author,202312_direct_accepted_species,202312_chained_accepted_genus,202312_direct_accepted_genus
183,Cacalia saligna Kuntze,Acilepis saligna (DC.) H.Rob.,Acilepis saligna (DC.) H.Rob.,Acilepis saligna (DC.) H.Rob.,Acilepis saligna,Vernonia saligna DC.,Vernonia saligna,Acilepis,Vernonia
197,Dendrophorbium pluricephalum (Cabrera) C.Jeffrey,Senecio pluricephalus Cabrera,Senecio pluricephalus Cabrera,Senecio pluricephalus Cabrera,Senecio pluricephalus,Dendrophorbium pluricephalum (Cabrera) C.Jeffrey,Dendrophorbium pluricephalum,Senecio,Dendrophorbium
305,Osteospermum riparium O.Hoffm.,Osteospermum fruticosum (L.) Norl.,Osteospermum fruticosum (L.) Norl.,Osteospermum fruticosum (L.) Norl.,Osteospermum fruticosum,Dimorphotheca fruticosa (L.) Less.,Dimorphotheca fruticosa,Osteospermum,Dimorphotheca
327,Gamochaeta standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi,Gamochaeta standleyi (Steyerm.) G.L.Nesom,Gamochaeta standleyi,Pseudognaphalium,Gamochaeta
441,Lipochaeta laricifolia (Hook.f.) A.Gray,Macraea laricifolia Hook.f.,Macraea laricifolia Hook.f.,Macraea laricifolia Hook.f.,Macraea laricifolia,Trigonopterum laricifolium (Hook.f.) W.L.Wagner & H.Rob.,Trigonopterum laricifolium,Macraea,Trigonopterum
484,Anthemis mucronulata K.Koch,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum,Matricaria,Tripleurospermum
601,Sinclairia hintoniorum B.L.Turner,Liabellum hintoniorum (B.L.Turner) H.Rob.,Liabellum hintoniorum (B.L.Turner) H.Rob.,Liabellum hintoniorum (B.L.Turner) H.Rob.,Liabellum hintoniorum,Sinclairia hintoniorum B.L.Turner,Sinclairia hintoniorum,Liabellum,Sinclairia
608,Senecio candidissimus Greene,Packera candidissima (Greene) W.A.Weber & Á.Löve,Packera candidissima (Greene) W.A.Weber & Á.Löve,Packera candidissima (Greene) W.A.Weber & Á.Löve,Packera candidissima,Senecio candidissimus Greene,Senecio candidissimus,Packera,Senecio
783,Aster oldhamii Hemsl.,Aster hispidus Thunb.,Aster hispidus Thunb.,Aster hispidus Thunb.,Aster hispidus,Kalimeris hispida Nees,Kalimeris hispida,Aster,Kalimeris
792,Vernonia canescens (Kunth) Cass.,Vernonia arborescens (L.) Sw.,Vernonia arborescens (L.) Sw.,Vernonia arborescens (L.) Sw.,Vernonia arborescens,Lepidaploa canescens (Kunth) H.Rob.,Lepidaploa canescens,Vernonia,Lepidaploa
