,201807_202207
number of old unaccepted species names,461146
old unaccepted species names are now accepted,9680
Number of old Synonyms which are now accepted,9653
Number of old Heterotypicsynonyms which are now accepted,25
Number of old Homotypicsynonyms which are now accepted,3
