,taxon_name_w_authors,v11_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species
count,1358514,1358514,1358514,1358127,1317088
unique,1358514,427247,427247,425413,355496
top,Vernonanthura schulziana (Cabrera) H.Rob.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina
freq,1,1128,1128,1128,1128
