,v11_v13,Percentages
original_names,1367679,100.0
total_disagreements,6849,0.5007754012454677
species_disagreements,3040,0.22227437871020905
genus_disagreements,347,0.025371450464619257
unresolved_via_chaining_despite_a_direct_resolution,11,0.0008042822913856249
